127.0.0.1 - - [16/Jan/2023:09:28:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:29:00 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5920
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:29:00 +0900] "GET /JSP_Gall/jsp/image/drop-down-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:29:00 +0900] "GET /JSP_Gall/jsp/image/play-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:29:00 +0900] "GET /JSP_Gall/jsp/image/left.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:29:00 +0900] "GET /JSP_Gall/jsp/image/test.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:29:00 +0900] "GET /JSP_Gall/jsp/image/right-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:29:00 +0900] "GET /JSP_Gall/jsp/image/play-button2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:29:00 +0900] "GET /JSP_Gall/jsp/image/play.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:29:00 +0900] "GET /JSP_Gall/jsp/image/check.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:29:00 +0900] "GET /JSP_Gall/jsp/image/check2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:29:00 +0900] "GET /JSP_Gall/jsp/image/digital1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:29:00 +0900] "GET /JSP_Gall/jsp/image/bell.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:29:00 +0900] "GET /JSP_Gall/jsp/image/search.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:29:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:29:09 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=1&p_idx=10 HTTP/1.1" 200 7296
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:29:34 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5920
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:29:41 +0900] "GET /JSP_Gall/jsp/loginForm.jsp HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:29:41 +0900] "GET /JSP_Gall/jsp/image/banner1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:33:21 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5971
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:34:27 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5992
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:35:31 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6013
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:35:55 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6027
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:36:29 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6046
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:37:39 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6045
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:38:05 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6045
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:38:42 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6045
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:41:33 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6094
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:42:00 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6106
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:43:00 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6108
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:46:30 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:46:58 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6137
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:47:01 +0900] "POST /JSP_Gall/jsp/checkID.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:47:59 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6162
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:48:51 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6163
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:49:16 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6163
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:49:32 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6167
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:51:06 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6200
0:0:0:0:0:0:0:1 - - [16/Jan/2023:09:51:47 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6217
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:07:23 +0900] "POST /JSP_Gall/jsp/checkID.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:07:27 +0900] "POST /JSP_Gall/jsp/checkID.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:07:27 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6217
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:11:04 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6259
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:11:08 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6259
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:11:12 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=1&p_idx=10 HTTP/1.1" 200 7296
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:11:13 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6259
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:11:19 +0900] "POST /JSP_Gall/jsp/checkID.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:11:22 +0900] "POST /JSP_Gall/jsp/checkID.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:11:22 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5736
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:18:57 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5834
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:18:57 +0900] "GET /JSP_Gall/jsp/image/right-arraw2.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:19:27 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5834
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:19:27 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 200 10948
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:23:51 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5835
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:23:52 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:24:26 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5850
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:24:26 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:24:40 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5861
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:26:19 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5897
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:26:19 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:26:55 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5915
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:27:41 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5954
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:27:41 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:27:52 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5954
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:28:10 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5973
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:32:04 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6058
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:32:05 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:32:37 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6108
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:34:01 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6162
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:34:01 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:34:42 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6176
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:35:41 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:35:41 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:36:21 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6281
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:36:23 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6281
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:37:27 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6298
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:37:27 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:37:55 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6523
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:39:10 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6547
